registro_id,nombre_jinete,casa,titulo,fecha_nacimiento_jinete,nombre_dragon,fecha_nacimiento_dragon,color_dragon,fecha_desde,fecha_hasta,kilometros_recorridos,es_jinete_actual,cantidad_batallas,observaciones
1,Alyssa Targaryen,targaryen,LADY,0095-06-17,Ironclaw ,0089-01-01,GRIS METÁLICO,0120-06-17,0125-06-17,64226.98,f,15,Participó en una batalla importante 
2, Aegon Targaryen,Targaryen, Príncipe,0090-04-10,IRONCLAW,0089-01-01,Gris metálico ,0130-04-10,0136-04-10,50622.73,f,0, Herido durante una expedición
3,Jaehaerys Targaryen ,targaryen,PRÍNCIPE,0110-01-01, Ironclaw,0089-01-01,Gris metálico,0128-01-01,0139-01-01,19515.85,f,0, Registro pendiente de revisión 
4, Aenar Targaryen,targaryen,LORD,0088-02-18, Ironclaw,0089-01-01,Gris metálico,0122-02-18,0123-02-18,71727.36,f,9, Participó en una batalla importante
5, Daemon Targaryen,Targaryen,príncipe,0081-06-05, Ironclaw,0089-01-01,Gris metálico,0109-06-05,0119-06-05,82684.61,f,8,
6, Alyssa Targaryen,targaryen, Lady,0095-06-17, Ironclaw ,0089-01-01,Gris metálico ,0114-06-17,0122-06-17,86591.62,f,7,Participó en una batalla importante 
7,Maeron Targaryen ,Targaryen,príncipe,0105-10-09,Ironclaw ,0089-01-01,Gris metálico ,0126-10-09,0148-10-09,8467.23,f,18, Participó en una batalla importante
8, Rhaena Targaryen , Targaryen ,lady,0116-09-03,Ironclaw,0089-01-01,GRIS METÁLICO,0137-09-03,0150-09-03,46496.94,f,16,Mantuvo vínculos con otras casas 
9, Daemon Targaryen,Targaryen,príncipe,0081-06-05, Ironclaw,0089-01-01, Gris metálico,0117-06-05,0117-06-05,24337.12,f,7,Participó en defensa del reino 
10,Jacaerys Targaryen ,Targaryen,PRÍNCIPE,0114-01-01, Ironclaw ,0089-01-01,GRIS METÁLICO,0145-01-01,0151-01-01,71033.72,f,14, Registro pendiente de revisión 
11,Rhaena Targaryen ,Targaryen,lady,0116-09-03,Ironclaw,0089-01-01, Gris metálico,0153-09-03,0159-09-03,1778.27,f,7,
